,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Alabama,SEC (West),1,14,0,7.09,16.60,23.69,49.69,-6.48,9.62,3.27,6.47,1.21,7.62,2.46
2,Florida,SEC (East),3,13,1,5.61,15.54,21.15,52.63,-4.51,10.81,3.69,7.00,1.70,8.44,2.64
3,Texas,Big 12 (South),2,13,1,11.08,9.12,20.21,56.55,1.00,9.06,3.93,5.58,1.30,7.28,2.55
4,Virginia Tech,ACC (Coastal),10,10,3,8.01,10.56,18.57,50.48,-0.18,11.85,4.04,6.16,2.75,7.85,3.46
5,Texas Christian,MWC,6,12,1,5.91,11.14,17.05,50.87,0.86,10.33,4.00,6.08,2.02,7.66,3.02
6,Oregon,Pac-10,11,10,3,12.09,3.39,15.48,53.38,7.44,8.91,4.31,6.89,2.01,7.57,3.17
7,Ohio State,Big Ten,5,11,2,1.58,13.13,14.71,43.63,-1.40,8.89,3.70,5.71,1.54,6.85,2.86
8,Cincinnati,Big East,8,12,1,11.76,2.47,14.23,53.58,9.18,9.94,5.42,6.22,2.42,8.24,3.90
9,Penn State,Big Ten,9,11,2,2.04,11.82,13.86,42.85,0.14,9.26,4.59,6.13,2.02,7.49,3.38
10,Georgia Tech,ACC (Coastal),13,11,3,11.79,1.75,13.54,51.66,9.42,12.78,5.58,6.52,3.90,7.75,4.82
11,Boise State,WAC,4,14,0,7.15,6.36,13.50,51.11,6.04,9.18,4.41,5.47,3.04,7.23,3.70
12,Oklahoma,Big 12 (South),,8,5,1.15,12.06,13.21,47.47,-3.45,9.06,3.46,4.96,1.77,7.00,2.61
13,Arkansas,SEC (West),,8,5,11.43,1.71,13.14,52.95,8.65,10.70,6.30,5.79,2.46,8.26,4.27
14,Pitt,Big East,15,10,3,7.59,5.16,12.75,47.32,5.78,9.52,4.88,6.20,2.22,7.49,3.76
15,LSU,SEC (West),17,9,4,2.28,10.42,12.70,42.82,-0.60,8.84,4.18,5.23,1.86,6.75,3.05
16,Miami (FL),ACC (Coastal),19,9,4,8.37,3.82,12.20,47.94,6.45,10.20,4.92,5.13,2.64,7.38,3.92
17,Clemson,ACC (Atlantic),24,9,5,5.49,6.24,11.73,46.78,3.96,8.64,4.08,5.82,2.42,6.98,3.23
18,Ole Miss,SEC (West),20,9,4,3.89,7.61,11.50,45.24,3.47,9.17,4.23,6.21,2.42,7.39,3.35
19,Nebraska,Big 12 (North),14,10,4,-3.40,14.81,11.41,41.24,-5.64,8.45,3.45,5.26,1.83,6.57,2.63
20,Stanford,Pac-10,,8,5,12.23,-1.35,10.88,52.34,11.79,10.57,6.03,6.57,3.18,7.97,4.66
21,Texas Tech,Big 12 (South),21,9,4,8.70,2.09,10.79,51.08,6.95,9.14,4.96,4.66,2.48,7.60,3.60
22,Auburn,SEC (West),,8,5,11.13,-0.87,10.26,50.74,11.81,9.72,4.75,6.57,2.74,7.75,3.80
23,Iowa,Big Ten,7,11,2,0.25,10.01,10.26,38.24,1.27,8.79,3.37,4.58,2.30,6.43,2.97
24,BYU,MWC,12,11,2,5.62,4.05,9.67,48.40,8.78,10.17,4.81,4.85,2.62,7.37,3.81
25,USC,Pac-10,22,9,4,2.21,6.90,9.11,42.96,4.67,9.36,4.38,6.30,2.51,7.57,3.53
26,Georgia,SEC (East),,8,5,7.16,1.89,9.06,47.12,8.41,9.67,5.20,6.13,1.86,7.62,3.54
27,Tennessee,SEC (East),,7,6,5.30,3.64,8.94,47.91,6.38,9.40,3.87,5.76,2.60,7.38,3.37
