"name","college_team","college_conference","position","height","weight","season_before_draft","receiving_rec","receiving_yds","receiving_td","receiving_ypr","regular_season_games","regular_season_wins","regular_season_losses","postseason_games","postseason_wins","postseason_losses","forty","bench","vertical","broad_jump","cone","shuttle","attended_combine","Rk","Conf","AP.Rank","W","L","OSRS","DSRS","SRS","Off","Def","Off.1","Def.1","Off.2","Def.2","Off.3","Def.3","receptions_pg","receiving_yds_pg","receiving_td_pg","pred_pick_lm","pred_pick_rf","prob_1st_round"
"Carnell Tate","Ohio State","Big Ten","Wide Receiver",75,195,2025,51,875,9,17.2,13,12,1,1,0,1,4.53,NA,NA,NA,NA,NA,"Y",2,"Big Ten",5,12,2,5.96,17.12,23.08,55.64,-11.42,11.32,3.03,6.28,1.3,8.46,2.22,3.64285714285714,62.5,0.642857142857143,100.466213878198,103.854666666667,0.295361057211117
"Jordyn Tyson","Arizona State","Big 12","Wide Receiver",74,200,2025,61,711,8,11.7,13,8,5,0,0,0,NA,26,NA,NA,NA,NA,"Y",37,"Big 12",NA,8,5,3.19,4.51,7.69,43.3,3.23,8.52,4.46,6.69,2.03,7.5,3.36,4.69230769230769,54.6923076923077,0.615384615384615,128.158294369831,133.4154,0.0869525008030474
"Makai Lemon","USC","Big Ten","Wide Receiver",71,195,2025,79,1156,11,14.6,13,9,4,0,0,0,NA,NA,NA,NA,NA,NA,"Y",12,"Big Ten",20,9,4,10.14,4.57,14.71,56.85,1.69,11.46,4.58,6.79,2.61,8.98,3.64,6.07692307692308,88.9230769230769,0.846153846153846,93.8257230777814,84.7525333333334,0.198386823951375
"Denzel Boston","Washington","Big Ten","Wide Receiver",76,209,2025,62,881,11,14.2,13,9,4,0,0,0,NA,NA,35,NA,NA,4.28,"Y",17,"Big Ten",NA,9,4,6.95,6.05,13,54.53,0.75,10.78,4.13,6.01,1.81,8.04,3.18,4.76923076923077,67.7692307692308,0.846153846153846,106.109760455238,74.7739666666667,0.218767074151292
"KC Concepcion","Texas A&M","SEC","Wide Receiver",71,190,2025,61,919,9,15.1,12,11,1,1,0,1,NA,NA,NA,NA,NA,NA,"Y",7,"SEC",8,11,2,11.49,6.12,17.62,55.06,0.02,10.41,3.84,6.89,2.33,8.38,3.13,4.69230769230769,70.6923076923077,0.692307692307692,101.926202220577,93.3698,0.15887901442815
"Chris Brazzell II","Tennessee","SEC","Wide Receiver",77,200,2025,62,1017,9,16.4,13,8,5,0,0,0,4.37,NA,NA,NA,NA,NA,"Y",29,"SEC",NA,8,5,12.67,-3.59,9.08,58.2,10.05,10.34,5.25,6.29,2.65,8.14,3.89,4.76923076923077,78.2307692307692,0.692307692307692,109.912476050899,118.600933333333,0.206071636280261
"Chris Bell","Louisville","ACC","Wide Receiver",74,220,2025,72,917,6,12.7,13,9,4,0,0,0,NA,NA,NA,NA,NA,NA,"Y",28,"ACC",NA,9,4,5.38,3.86,9.23,49.04,3.47,8.74,4.3,7.02,2.18,7.79,3.19,5.53846153846154,70.5384615384615,0.461538461538462,118.000836324517,111.530533333333,0.0983612917414191
"Elijah Sarratt","Indiana","Big Ten","Wide Receiver",74,209,2025,65,830,15,12.8,13,13,0,3,3,0,NA,NA,NA,NA,NA,NA,"Y",1,"Big Ten",1,16,0,10.06,15.42,25.48,64.98,-9.07,11.9,3.97,7.03,1.32,8.85,2.92,4.0625,51.875,0.9375,94.3026570266285,127.743366666667,0.26678573490871
"Antonio Williams","Clemson","ACC","Wide Receiver",71,190,2025,55,604,4,11,13,7,6,0,0,0,4.41,10,39.5,124,7,NA,"Y",44,"ACC",NA,7,6,2.25,4.17,6.42,45.52,2.78,9.1,4.79,5.43,2.19,7.36,3.7,4.23076923076923,46.4615384615385,0.307692307692308,142.226902296956,155.944033333333,0.0354026554306081
"Germie Bernard","Alabama","SEC","Wide Receiver",73,204,2025,64,862,7,13.5,13,10,3,2,1,1,4.48,NA,32.5,125,6.71,4.31,"Y",15,"SEC",9,11,4,5.53,7.77,13.3,53.35,-1.45,9.78,4.25,5.75,1.96,7.77,3.05,4.26666666666667,57.4666666666667,0.466666666666667,120.049983482223,116.9811,0.0975728967413986
"Ja'Kobi Lane","USC","Big Ten","Wide Receiver",76,200,2025,49,745,4,15.2,13,9,4,0,0,0,4.47,NA,40,129,NA,NA,"Y",12,"Big Ten",20,9,4,10.14,4.57,14.71,56.85,1.69,11.46,4.58,6.79,2.61,8.98,3.64,3.76923076923077,57.3076923076923,0.307692307692308,122.819416194441,125.668733333333,0.124470236570546
"Malachi Fields","Notre Dame","FBS Independents","Wide Receiver",76,223,2025,36,630,5,17.5,12,10,2,0,0,0,4.61,NA,38,124,6.98,4.35,"Y",3,"Ind",10,10,2,11.67,10.19,21.85,61.92,-3.92,11.45,3.68,7.39,1.24,9.02,2.58,3,52.5,0.416666666666667,104.375898970613,146.264666666667,0.189200667491633
"Omar Cooper Jr.","Indiana","Big Ten","Wide Receiver",72,201,2025,69,937,13,13.6,13,13,0,3,3,0,4.42,NA,37,NA,NA,NA,"Y",1,"Big Ten",1,16,0,10.06,15.42,25.48,64.98,-9.07,11.9,3.97,7.03,1.32,8.85,2.92,4.3125,58.5625,0.8125,94.3327165709938,93.8135333333333,0.228723224621362
"Zachariah Branch","Georgia","SEC","Wide Receiver",70,180,2025,81,811,6,10,13,12,1,1,0,1,4.35,20,38,125,NA,NA,"Y",9,"SEC",6,12,2,7.53,9.79,17.33,51.17,-3.5,9.13,4.41,6.19,1.29,7.38,3.05,5.78571428571429,57.9285714285714,0.428571428571429,122.681185485513,117.895733333333,0.0836663607247813
